country,cabr,year,cut,subcut,indicator,value,se,N,method
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_fin28,73.49693298,6.411986,161.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_fin29,2.867970467,1.0851599,125.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_fin30,.8113782406,0.28774983,99.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_fin31,59.81023407,8.682785,140.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_fin32,.6608813405,0.13231044,90.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_fin33,79.6697998,3.9815156,171.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,fin7,22.59046173,3.9060757,162.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,gend1,29.75844955,8.95898,172.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,gend2,65.46591949,4.4131594,168.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,gend3,66.71855164,4.6367893,158.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,gend4,20.7181015,7.827222,174.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,gend5,69.12530518,5.2848477,157.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,gend6,21.74878693,8.067175,171.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_gend7,47.90916824,39.480633,11.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,gend8,55.21988297,15.098924,49.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,gend9,100,0.0,1.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,graft2,20.90072441,6.556489,82.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,graft3,29.22448158,9.0595045,82.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_in1_median,2,15.253224,13.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,in11,6.053788662,2.2870247,172.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,in12,38.96780396,9.371243,173.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,in16,45.10287857,8.499422,174.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_in18,2.4990201,1.701285,174.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,in19,4.224121094,,5.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_in2,.5790583491,0.14851882,165.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,in20,1.958982706,,4.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_in21,35.97187805,8.795429,171.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_in22_median,2,0.81370056,20.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_in23,76.61680603,4.219499,172.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,in24,10.23694038,6.3166847,173.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,in25,21.74233055,6.6300426,173.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,in26,32.72247696,7.950924,165.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_in3_median,0,0.4220202,165.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_in4_median,0,0.04979911,158.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_in5_median,3,1.808978,13.0,Global
